0.3244 0.7982 0.8968 Si
0.8244 0.2982 0.6468 Si
0.6756 0.2018 0.8968 Si
0.1756 0.7018 0.6468 Si
0.3244 0.2018 0.8968 Si
0.8244 0.7018 0.6468 Si
0.0843 0.2004 0.5 Si
0.5843 0.7004 0.75 Si
0.9157 0.2004 0.5 Si
0.4157 0.7004 0.75 Si
0.0843 0.7996 0.5 Si
0.5843 0.2996 0.75 Si
0.9157 0.7996 0.5 Si
0.4157 0.2996 0.75 Si
0.2743 0.0 0.64675 Si
0.7743 0.5 0.89675 Si
0.7257 0.0 0.64675 Si
0.2257 0.5 0.89675 Si
0.7257 0.0 0.85325 Si
0.2257 0.5 0.60325 Si
0.2743 0.0 0.85325 Si
0.7743 0.5 0.60325 Si
0.1553 0.0 0.5 Si
0.6553 0.5 0.75 Si
0.8447 0.0 0.5 Si
0.3447 0.5 0.75 Si
1.3201 0.0918 0.12505 O
1.8201 0.5918 0.37505 O
1.6799 0.0918 0.12505 O
1.1799 0.5918 0.37505 O
1.3201 0.9082 0.12505 O
1.8201 0.4082 0.37505 O
1.6799 0.9082 0.12505 O
1.1799 0.4082 0.37505 O
1.6799 0.9082 0.37495 O
1.1799 0.4082 0.12495 O
1.3201 0.9082 0.37495 O
1.8201 0.4082 0.12495 O
1.6799 0.0918 0.37495 O
1.1799 0.5918 0.12495 O
1.3201 0.0918 0.37495 O
1.8201 0.5918 0.12495 O
1.3848 0.2493 0.16285 O
1.8848 0.7493 0.41285 O
1.6152 0.2493 0.16285 O
1.1152 0.7493 0.41285 O
1.3848 0.7507 0.16285 O
1.8848 0.2507 0.41285 O
1.6152 0.7507 0.16285 O
1.1152 0.2507 0.41285 O
1.6152 0.7507 0.33715 O
1.1152 0.2507 0.08715 O
1.3848 0.7507 0.33715 O
1.8848 0.2507 0.08715 O
1.6152 0.2493 0.33715 O
1.1152 0.7493 0.08715 O
1.3848 0.2493 0.33715 O
1.8848 0.7493 0.08715 O
1.3429 0.2162 0.0 O
1.8429 0.7162 0.25 O
1.6571 0.2162 0.0 O
1.1571 0.7162 0.25 O
1.3429 0.7838 0.0 O
1.8429 0.2838 0.25 O
1.6571 0.7838 0.0 O
1.1571 0.2838 0.25 O
1.25 0.25 0.125 O
1.75 0.75 0.375 O
1.75 0.25 0.125 O
1.25 0.75 0.375 O
1.25 0.75 0.125 O
1.75 0.25 0.375 O
1.75 0.75 0.125 O
1.25 0.25 0.375 O
1.1063 0.0918 0.0 O
1.6063 0.5918 0.25 O
1.8937 0.0918 0.0 O
1.3937 0.5918 0.25 O
1.1063 0.9082 0.0 O
1.6063 0.4082 0.25 O
1.8937 0.9082 0.0 O
