CN,Elmt,Label,x,y,z,xor,yor,zor,d,[A]
,O,O3,1.1203,0.8798,0.1315,-0.47146,11.04018,8.76375,1.60969,
,O,O4,1,0.7423,0,-1.99483,8.98274,8.15884,1.60943,
,O,O4,1,0.7423,0,-1.99483,8.98274,8.15884,1.60943,
,O,O4,1,0.7423,0,-1.99483,8.98274,8.15884,1.60943,
,O,O4,1,0.7423,0,-1.99483,8.98274,8.15884,1.60943,
,,,,,,,,,,
[4],Si,T1,0.333633,0.440267,0.561567,6.75037,7.20022,0.97726,,
,O,O1,0.431333,0.568667,0.543967,6.85848,7.79716,2.46782,1.60928,
,O,O2,0.356633,0.356567,0.499967,5.20225,7.13735,0.53463,1.61138,
,O,O3,0.213033,0.426167,0.535167,7.37286,5.71608,0.94685,1.60968,
,O,O4,0.333333,0.408967,0.666667,7.5584,8.14567,-0.04425,1.60943,
,,,,,,,,,,
[4],Si,T1,0.0003,0.2267,0.8949,11.1214,6.89451,-3.60814,,
,O,O1,0.098,0.196,0.8773,9.85362,7.87418,-3.75898,1.60928,
,O,O2,0.0233,0.3334,0.8333,11.21985,6.3736,-2.08646,1.61138,
,O,O2,0.023233,0.333267,0.833367,11.21994,6.37376,-2.08831,1.60959,
,O,O3,-0.1203,0.1202,0.8685,10.94482,5.63265,-4.59182,1.60969,
,O,O4,0,0.2577,1,12.46819,7.69008,-3.98692,1.60943,
,O,O4,0,0.2577,1,12.46819,7.69008,-3.98692,1.60943,
,O,O4,0,0.2577,1,12.46819,7.69008,-3.98692,1.60943,
,O,O4,0,0.2577,1,12.46819,7.69008,-3.98692,1.60943,
,,,,,,,,,,
[4],Si,T1,0.333033,0.893067,0.771767,12.82357,7.85126,4.2515,,
,O,O1,0.235333,0.764667,0.789367,12.71546,7.25432,2.76094,1.60928,
,O,O2,0.310033,0.976767,0.833367,14.37169,7.91413,4.69413,1.61138,
,O,O3,0.453633,0.907167,0.798167,12.20109,9.3354,4.28191,1.60968,
,O,O4,0.333333,0.924367,0.666667,12.01554,6.90581,5.27301,1.60943,
,,,,,,,,,,
[4],Si,T1,0.333633,0.893367,0.561567,10.66875,6.11023,5.65178,,
,O,O1,0.431333,0.862667,0.543967,9.40097,7.08991,5.50094,1.60927,
,O,O2,0.356633,1.000067,0.499967,10.7672,5.58933,7.17347,1.61138,
,O,O2,0.356567,0.999933,0.500033,10.76729,5.58949,7.17161,1.60959,
,O,O3,0.213033,0.786867,0.535167,10.49217,4.84837,4.66811,1.60969,
,O,O4,0.333333,0.924367,0.666667,12.01554,6.90581,5.27301,1.60944,
,,,,,,,,,,
[3],Si,T1,0.2264,0.9997,0.8949,15.9038,7.4697,4.47992,,
,O,O1,0.098,0.902,0.8773,15.95906,6.17581,3.52465,1.60928,
,O,O2,0.310033,0.976767,0.833367,14.37169,7.91413,4.69413,1.60958,
,O,O3,0.2405,1.1203,0.8685,16.55778,7.11204,5.90663,1.60969,
,O,O4,0.2577,1,1,16.71922,8.67942,3.80025,1.60943,
,O,O4,0.2577,1,1,16.71922,8.67942,3.80025,1.60943,
,O,O4,0.2577,1,1,16.71922,8.67942,3.80025,1.60943,
,O,O4,0.2577,1,1,16.71922,8.67942,3.80025,1.60943,
,,,,,,,,,,
[4],Si,T1,0.893067,0.333033,0.228233,-2.29736,10.7124,2.36626,,
,O,O1,0.764667,0.235333,0.210633,-2.2421,9.41851,1.41098,1.60928,
,O,O2,0.9767,0.3101,0.1667,-3.82947,11.15683,2.58046,1.60959,
,O,O3,0.907167,0.453633,0.201833,-1.64339,10.35474,3.79296,1.60969,
,O,O4,0.924367,0.333333,0.333333,-1.48195,11.92212,1.68658,1.60943,
,,,,,,,,,,
[4],Si,T1,0.559733,0.666367,0.561567,6.80322,9.09105,3.42309,,
,O,O1,0.431333,0.568667,0.543967,6.85848,7.79716,2.46782,1.60928,
,O,O2,0.643367,0.643433,0.500033,5.27111,9.53548,3.63729,1.60958,
,O,O3,0.573833,0.786967,0.535167,7.4572,8.73339,4.8498,1.60969,
,O,O4,0.591033,0.666667,0.666667,7.61864,10.30077,2.74341,1.60943,
,,,,,,,,,,
[5],Si,T1,0.2264,0.2267,0.8949,9.21895,9.32925,-3.49493,,
,O,O1,0.098,0.196,0.8773,9.85362,7.87418,-3.75898,1.60927,
,O,O2,0.310033,0.333267,0.833367,8.80675,9.46215,-1.94471,1.60959,
,O,O2,0.3101,0.3334,0.8333,8.80666,9.46199,-1.94286,1.61138,
,O,O3,0.2405,0.1203,0.8685,7.90985,9.51766,-4.41013,1.60837,
,O,O4,0.2577,0.2577,1,10.29986,10.46511,-3.85788,1.60943,
,O,O4,0.2577,0.2577,1,10.29986,10.46511,-3.85788,1.60943,
,,,,,,,,,,
[4],Si,T1,0.666367,0.559733,0.438433,3.72299,9.47261,3.19466,,
,O,O1,0.568667,0.431333,0.456033,3.61488,8.87567,1.70411,1.60928,
,O,O2,0.643367,0.643433,0.500033,5.27111,9.53548,3.63729,1.61138,
,O,O3,0.786967,0.573833,0.464833,3.1005,10.95675,3.22507,1.60968,
,O,O4,0.666667,0.591033,0.333333,2.91496,8.52716,4.21618,1.60943,
,,,,,,,,,,
[4],Si,T1,0.559733,0.893367,0.561567,8.7663,8.54498,5.765,,
,O,O1,0.431333,0.862667,0.543967,9.40097,7.08991,5.50094,1.60928,
,O,O2,0.643367,0.999933,0.500033,8.3541,8.67788,7.31522,1.60958,
,O,O2,0.643433,1.000067,0.499967,8.35401,8.67772,7.31707,1.61138,
,O,O3,0.573833,0.786967,0.535167,7.4572,8.73339,4.8498,1.60837,
,O,O4,0.591033,0.924367,0.666667,9.84721,9.68084,5.40204,1.60943,
,,,,,,,,,,
[3],Si,T1,0.7736,0.0003,0.1051,-5.43044,9.20312,-0.308,,
,O,O1,0.902,0.098,0.1227,-5.4857,10.49702,0.64728,1.60928,
,O,O2,0.689967,0.023233,0.166633,-3.89833,8.7587,-0.5222,1.60958,
,O,O3,0.7595,-0.1203,0.1315,-6.08441,9.56079,-1.7347,1.60969,
,O,O4,0.7423,0,0,-6.24585,7.99341,0.37168,1.60943,
,O,O4,0.7423,0,0,-6.24585,7.99341,0.37168,1.60943,
,O,O4,0.7423,0,0,-6.24585,7.99341,0.37168,1.60943,
,O,O4,0.7423,0,0,-6.24585,7.99341,0.37168,1.60943,
,,,,,,,,,,
[4],Si,T1,0.440267,0.333633,0.438433,3.67014,7.58178,0.74883,,
,O,O1,0.568667,0.431333,0.456033,3.61488,8.87567,1.70411,1.60928,
,O,O2,0.356633,0.356567,0.499967,5.20225,7.13735,0.53463,1.60958,
,O,O3,0.426167,0.213033,0.464833,3.01617,7.93944,-0.67787,1.60969,
,O,O4,0.408967,0.333333,0.333333,2.85473,6.37206,1.42851,1.60943,
,,,,,,,,,,
[4],Si,T1,0.106933,0.666967,0.771767,12.77072,5.96043,1.80567,,
,O,O1,0.235333,0.764667,0.789367,12.71546,7.25432,2.76094,1.60928,
,O,O2,0.0233,0.6899,0.8333,14.30284,5.516,1.59146,1.60959,
,O,O3,0.092833,0.546367,0.798167,12.11675,6.31809,0.37896,1.60969,
,O,O4,0.075633,0.666667,0.666667,11.95531,4.75071,2.48535,1.60943,
,,,,,,,,,,
[5],Si,T1,0.7736,0.7733,0.1051,1.25441,7.34358,7.66685,,
,O,O1,0.902,0.804,0.1227,0.61974,8.79865,7.93091,1.60927,
,O,O2,0.689967,0.666733,0.166633,1.66662,7.21068,6.11663,1.60958,
,O,O2,0.6899,0.6666,0.1667,1.66671,7.21084,6.11478,1.61138,
,O,O3,0.7595,0.8797,0.1315,2.56352,7.15517,8.58206,1.60837,
,O,O4,0.7423,0.7423,0,0.17351,6.20772,8.02981,1.60943,
,O,O4,0.7423,0.7423,0,0.17351,6.20772,8.02981,1.60943,
,,,,,,,,,,
[4],Si,T1,0.440267,0.106633,0.438433,1.70706,8.12785,-1.59307,,
,O,O1,0.568667,0.137333,0.456033,1.07239,9.58292,-1.32902,1.60928,
,O,O2,0.356633,0.000067,0.499967,2.11926,7.99495,-3.14329,1.60958,
,O,O2,0.356567,-0.000067,0.500033,2.11936,7.99511,-3.14514,1.61138,
,O,O3,0.426167,0.213033,0.464833,3.01617,7.93944,-0.67787,1.60837,
,O,O4,0.408967,0.075633,0.333333,0.62616,6.99199,-1.23012,1.60943,
,,,,,,,,,,
[5],Si,T1,0.106933,0.439967,0.771767,10.80764,6.5065,-0.53624,,
,O,O1,0.235333,0.470667,0.789367,10.17297,7.96157,-0.27218,1.60928,
,O,O2,0.0233,0.3334,0.8333,11.21985,6.3736,-2.08646,1.60958,
,O,O2,0.023233,0.333267,0.833367,11.21994,6.37376,-2.08831,1.61138,
,O,O3,0.092833,0.546367,0.798167,12.11675,6.31809,0.37896,1.60837,
,O,O4,0.075633,0.408967,0.666667,9.72674,5.37064,-0.17328,1.60943,
,,,,,,,,,,
[4],Si,T1,0.7733,0.9997,0.8949,11.30208,13.35896,4.75377,,
,O,O1,0.804,0.902,0.8773,10.01865,13.77833,3.87815,1.60928,
,O,O2,0.6666,0.9767,0.8333,11.37021,11.7534,4.87242,1.61138,
,O,O2,0.666733,0.976767,0.833367,11.37035,11.75523,4.87273,1.60959,
,O,O3,0.8797,1.1202,0.8685,11.17856,13.99546,6.22565,1.60837,
,O,O4,0.7423,1,1,12.6417,13.8978,4.04289,1.60943,
,O,O4,0.7423,1,1,12.6417,13.8978,4.04289,1.60943,
,O,O4,0.7423,1,1,12.6417,13.8978,4.04289,1.60943,
,O,O4,0.7423,1,1,12.6417,13.8978,4.04289,1.60943,
,,,,,,,,,,
[3],Si,T1,0.9997,0.2264,0.1051,-5.37759,11.09396,2.13783,,
,O,O1,0.902,0.098,0.1227,-5.4857,10.49702,0.64728,1.60928,
,O,O2,0.9767,0.3101,0.1667,-3.82947,11.15683,2.58046,1.61138,
,O,O3,1.1203,0.2405,0.1315,-6.00008,12.5781,2.16824,1.60968,
,O,O4,1,0.2577,0,-6.18562,10.14851,3.15934,1.60943,
,O,O4,1,0.2577,0,-6.18562,10.14851,3.15934,1.60943,
,O,O4,1,0.2577,0,-6.18562,10.14851,3.15934,1.60943,
,O,O4,1,0.2577,0,-6.18562,10.14851,3.15934,1.60943,
,,,,,,,,,,
[4],Si,T1,0.106633,0.666367,0.561567,10.61569,4.21187,3.19622,,
,O,O1,0.137333,0.568667,0.543967,9.33225,4.63124,2.32061,1.60928,
,O,O2,-0.000067,0.643367,0.499967,10.68382,2.60631,3.31487,1.61138,
,O,O2,0.000067,0.643433,0.500033,10.68396,2.60814,3.31518,1.60958,
,O,O3,0.213033,0.786867,0.535167,10.49217,4.84837,4.66811,1.60837,
,O,O4,0.075633,0.666667,0.666667,11.95531,4.75071,2.48535,1.60943,
,,,,,,,,,,
[5],Si,T1,0.7733,0.7736,0.8949,9.34678,13.90287,2.42115,,
,O,O1,0.804,0.902,0.8773,10.01865,13.77833,3.87815,1.60928,
,O,O2,0.6666,0.6899,0.8333,8.88999,12.44334,1.91357,1.61138,
,O,O2,0.666733,0.689967,0.833367,8.89012,12.44516,1.91389,1.60959,
,O,O3,0.8797,0.7595,0.8685,8.05925,14.86317,2.5044,1.60837,
,O,O4,0.7423,0.7423,1,10.41313,14.51773,1.38426,1.60943,
,O,O4,0.7423,0.7423,1,10.41313,14.51773,1.38426,1.60943,
,,,,,,,,,,
[5],Si,T1,0.439967,0.106933,0.228233,-0.44019,6.37713,-0.19323,,
,O,O1,0.470667,0.235333,0.210633,0.23167,6.25259,1.26377,1.60928,
,O,O2,0.333267,0.023233,0.166633,-0.89699,4.9176,-0.70081,1.61138,
,O,O2,0.3334,0.0233,0.1667,-0.89685,4.91943,-0.70049,1.60959,
,O,O3,0.546367,0.092833,0.201833,-1.72772,7.33743,-0.10998,1.60837,
,O,O4,0.408967,0.075633,0.333333,0.62616,6.99199,-1.23012,1.60943,
,,,,,,,,,,
[4],Si,T1,0.106633,0.440267,0.561567,8.66039,4.75579,0.8636,,
,O,O1,0.137333,0.568667,0.543967,9.33225,4.63124,2.32061,1.60928,
,O,O2,-0.000067,0.356567,0.499967,8.20359,3.29625,0.35603,1.61138,
,O,O2,0.000067,0.356633,0.500033,8.20373,3.29808,0.35634,1.60959,
,O,O3,0.213033,0.426167,0.535167,7.37286,5.71608,0.94685,1.60836,
,O,O4,0.075633,0.408967,0.666667,9.72674,5.37064,-0.17328,1.60943,
,,,,,,,,,,
[4],Si,T1,0.2267,0.0003,0.1051,-0.82872,3.31387,-0.58184,,
,O,O1,0.196,0.098,0.1227,0.45472,2.8945,0.29377,1.60928,
,O,O2,0.333267,0.023233,0.166633,-0.89699,4.9176,-0.70081,1.60959,
,O,O2,0.3334,0.0233,0.1667,-0.89685,4.91943,-0.70049,1.61138,
,O,O3,0.1203,-0.1202,0.1315,-0.7052,2.67737,-2.05373,1.60837,
,O,O4,0.2577,0,0,-2.16834,2.77503,0.12903,1.60943,
,O,O4,0.2577,0,0,-2.16834,2.77503,0.12903,1.60943,
,O,O4,0.2577,0,0,-2.16834,2.77503,0.12903,1.60943,
,O,O4,0.2577,0,0,-2.16834,2.77503,0.12903,1.60943,
,,,,,,,,,,
[4],Si,T1,0.893367,0.333633,0.438433,-0.14233,12.46095,0.97571,,
,O,O1,0.862667,0.431333,0.456033,1.14111,12.04159,1.85132,1.60928,
,O,O2,0.999933,0.356567,0.499967,-0.2106,14.06468,0.85674,1.60959,
,O,O2,1.000067,0.356633,0.500033,-0.21046,14.06652,0.85705,1.61138,
,O,O3,0.786967,0.213133,0.464833,-0.01881,11.82446,-0.49618,1.60837,
,O,O4,0.924367,0.333333,0.333333,-1.48195,11.92212,1.68658,1.60943,
,,,,,,,,,,
[5],Si,T1,0.560033,0.666967,0.771767,8.95825,10.83961,2.03254,,
,O,O1,0.529333,0.764667,0.789367,10.24169,10.42024,2.90815,1.60928,
,O,O2,0.6666,0.6899,0.8333,8.88999,12.44334,1.91357,1.60959,
,O,O2,0.666733,0.689967,0.833367,8.89012,12.44516,1.91389,1.61138,
,O,O3,0.453633,0.546467,0.798167,9.08177,10.20311,0.56065,1.60837,
,O,O4,0.591033,0.666667,0.666667,7.61864,10.30077,2.74341,1.60943,
,,,,,,,,,,
[5],Si,T1,0.2267,0.2264,0.1051,1.12658,2.76995,1.75078,,
,O,O1,0.196,0.098,0.1227,0.45472,2.8945,0.29377,1.60928,
,O,O2,0.333267,0.310033,0.166633,1.58324,4.22766,2.25804,1.60959,
,O,O2,0.3334,0.3101,0.1667,1.58338,4.22949,2.25835,1.61138,
,O,O3,0.1203,0.2405,0.1315,2.41411,1.80966,1.66753,1.60836,
,O,O4,0.2577,0.2577,0,0.06023,2.1551,2.78766,1.60943,
,O,O4,0.2577,0.2577,0,0.06023,2.1551,2.78766,1.60943,
,,,,,,,,,,
[4],Si,T1,0.893367,0.559733,0.438433,1.81297,11.91704,3.30833,,
,O,O1,0.862667,0.431333,0.456033,1.14111,12.04159,1.85132,1.60928,
,O,O2,0.999933,0.643367,0.499967,2.26963,13.37475,3.81559,1.60959,
,O,O2,1.000067,0.643433,0.500033,2.26977,13.37658,3.8159,1.61138,
,O,O3,0.786967,0.573833,0.464833,3.1005,10.95675,3.22507,1.60836,
,O,O4,0.924367,0.591033,0.333333,0.74663,11.30219,4.34521,1.60943,
,,,,,,,,,,
[5],Si,T1,0.560033,0.893067,0.771767,10.91355,10.29569,4.36516,,
,O,O1,0.529333,0.764667,0.789367,10.24169,10.42024,2.90815,1.60928,
,O,O2,0.6666,0.9767,0.8333,11.37021,11.7534,4.87242,1.60959,
,O,O2,0.666733,0.976767,0.833367,11.37035,11.75523,4.87273,1.61138,
,O,O3,0.453633,0.907167,0.798167,12.20109,9.3354,4.28191,1.60837,
,O,O4,0.591033,0.924367,0.666667,9.84721,9.68084,5.40204,1.60943,
---------------------------------------------------------------------------------------------------------,,,,,,,,,,

