CN,Elmt,Label,x,y,z,xor,yor,zor,d,[A]
,Si,T1,0.0003,0.2267,0.8949,11.1214,6.89451,-3.60814,1.61138,
,Si,T1,0.106933,0.439967,0.771767,10.80764,6.5065,-0.53624,1.60958,
,,,,,,,,,,
[2],O,O2,0.689967,0.666733,0.166633,1.66662,7.21068,6.11663,,
,Si,T1,0.7736,0.7733,0.1051,1.25441,7.34358,7.66685,1.60958,
,,,,,,,,,,
[1],O,O2,0.356633,0.000067,0.499967,2.11926,7.99495,-3.14329,,
,Si,T1,0.333633,-0.106633,0.561567,2.02082,8.51586,-4.66497,1.61138,
,Si,T1,0.440267,0.106633,0.438433,1.70706,8.12785,-1.59307,1.60958,
,,,,,,,,,,
[2],O,O2,0.3101,0.3334,0.8333,8.80666,9.46199,-1.94286,,
,Si,T1,0.333033,0.439967,0.771767,8.9052,8.94125,-0.42303,1.60959,
,Si,T1,0.2264,0.2267,0.8949,9.21895,9.32925,-3.49493,1.61138,
,,,,,,,,,,
[2],O,O2,0.976767,0.666733,0.166633,-0.74657,10.29907,6.26024,,
,Si,T1,0.9997,0.7733,0.1051,-0.64804,9.77832,7.78007,1.60958,
,,,,,,,,,,
[1],O,O2,0.643433,0.000067,0.499967,-0.29393,11.08334,-2.99969,,
,Si,T1,0.666367,0.106633,0.438433,-0.19539,10.5626,-1.47986,1.60959,
,Si,T1,0.559733,-0.106633,0.561567,0.11837,10.9506,-4.55176,1.61138,
,,,,,,,,,,
[2],O,O2,0.6899,0.6666,0.1667,1.66671,7.21084,6.11478,,
,Si,T1,0.7736,0.7733,0.1051,1.25441,7.34358,7.66685,1.61138,
,,,,,,,,,,
[1],O,O2,0.356567,0.999933,0.500033,10.76729,5.58949,7.17161,,
,Si,T1,0.333633,0.893367,0.561567,10.66875,6.11023,5.65178,1.60959,
,Si,T1,0.440267,1.106633,0.438433,10.35499,5.72223,8.72369,1.61138,
,,,,,,,,,,
[2],O,O2,0.023233,0.333267,0.833367,11.21994,6.37376,-2.08831,,
,Si,T1,0.0003,0.2267,0.8949,11.1214,6.89451,-3.60814,1.60959,
,Si,T1,0.106933,0.439967,0.771767,10.80764,6.5065,-0.53624,1.61138,
,,,,,,,,,,
[2],O,O2,0.6666,0.9767,0.8333,11.37021,11.7534,4.87242,,
,Si,T1,0.7733,0.9997,0.8949,11.30208,13.35896,4.75377,1.61138,
,Si,T1,0.560033,0.893067,0.771767,10.91355,10.29569,4.36516,1.60959,
,,,,,,,,,,
[2],O,O2,0.333267,0.310033,0.166633,1.58324,4.22766,2.25804,,
,Si,T1,0.2267,0.2264,0.1051,1.12658,2.76995,1.75078,1.60959,
,,,,,,,,,,
[1],O,O2,0.999933,0.643367,0.499967,2.26963,13.37475,3.81559,,
,Si,T1,1.106633,0.666367,0.561567,2.2015,14.98031,3.69693,1.61138,
,Si,T1,0.893367,0.559733,0.438433,1.81297,11.91704,3.30833,1.60959,
,,,,,,,,,,
[2],O,O2,0.6666,0.6899,0.8333,8.88999,12.44334,1.91357,,
,Si,T1,0.7733,0.7736,0.8949,9.34679,13.90287,2.42115,1.61138,
,Si,T1,0.560033,0.666967,0.771767,8.95825,10.83961,2.03254,1.60959,
,,,,,,,,,,
[2],O,O2,0.333267,0.023233,0.166633,-0.89699,4.9176,-0.70081,,
,Si,T1,0.439967,0.106933,0.228233,-0.44019,6.37713,-0.19323,1.61138,
,Si,T1,0.2267,0.0003,0.1051,-0.82872,3.31387,-0.58184,1.60959,
,,,,,,,,,,
[1],O,O2,0.999933,0.356567,0.499967,-0.2106,14.06469,0.85674,,
,Si,T1,1.106633,0.440267,0.561567,0.2462,15.52422,1.36431,1.61138,
,Si,T1,0.893367,0.333633,0.438433,-0.14233,12.46095,0.97571,1.60959,
,,,,,,,,,,
[2],O,O2,0.3334,0.0233,0.1667,-0.89685,4.91943,-0.70049,,
,Si,T1,0.439967,0.106933,0.228233,-0.44019,6.37713,-0.19323,1.60959,
,Si,T1,0.2267,0.0003,0.1051,-0.82872,3.31387,-0.58184,1.61138,
,,,,,,,,,,
[1],O,O2,0.000067,0.356633,0.500033,8.20373,3.29808,0.35634,,
,Si,T1,0.106633,0.440267,0.561567,8.66039,4.75578,0.8636,1.60959,
,Si,T1,-0.106633,0.333633,0.438433,8.27186,1.69252,0.47499,1.61138,
,,,,,,,,,,
[2],O,O2,0.666733,0.689967,0.833367,8.89012,12.44517,1.91388,,
,Si,T1,0.7733,0.7736,0.8949,9.34679,13.90287,2.42115,1.60959,
,Si,T1,0.560033,0.666967,0.771767,8.95825,10.83961,2.03254,1.61138,
,,,,,,,,,,
[2],O,O2,0.3334,0.3101,0.1667,1.58338,4.22949,2.25835,,
,Si,T1,0.2267,0.2264,0.1051,1.12658,2.76995,1.75078,1.61138,
,,,,,,,,,,
[1],O,O2,0.000067,0.643433,0.500033,10.68396,2.60814,3.31518,,
,Si,T1,0.106633,0.666367,0.561567,10.61569,4.21187,3.19622,1.60958,
,Si,T1,-0.106633,0.559733,0.438433,10.22716,1.1486,2.80761,1.61138,
,,,,,,,,,,
[2],O,O2,0.666733,0.976767,0.833367,11.37035,11.75523,4.87273,,
,Si,T1,0.7733,0.9997,0.8949,11.30208,13.35896,4.75377,1.60959,
,Si,T1,0.560033,0.893067,0.771767,10.91355,10.29569,4.36516,1.61138,
,,,,,,,,,,
[2],O,O2,0.643367,0.643433,0.500033,5.27111,9.53548,3.63729,,
,Si,T1,0.559733,0.666367,0.561567,6.80322,9.09105,3.42309,1.60958,
,Si,T1,0.666367,0.559733,0.438433,3.72299,9.47261,3.19466,1.61138,
,,,,,,,,,,
[2],O,O2,0.9767,0.3101,0.1667,-3.82947,11.15683,2.58046,,
,Si,T1,0.893067,0.333033,0.228233,-2.29736,10.7124,2.36626,1.60959,
,Si,T1,0.9997,0.2264,0.1051,-5.37759,11.09396,2.13783,1.61138,
,,,,,,,,,,
[2],O,O2,0.9767,0.6666,0.1667,-0.74648,10.29922,6.25839,,
,Si,T1,0.9997,0.7733,0.1051,-0.64804,9.77832,7.78007,1.61138,
,,,,,,,,,,
[2],O,O2,0.310033,0.976767,0.833367,14.37169,7.91413,4.69413,,
,Si,T1,0.333033,0.893067,0.771767,12.82357,7.85126,4.2515,1.61138,
,Si,T1,0.2264,0.9997,0.8949,15.9038,7.46971,4.47993,1.60958,
,,,,,,,,,,
[2],O,O3,0.786967,0.213133,0.464833,-0.01881,11.82446,-0.49618,,
,Si,T1,0.666367,0.106633,0.438433,-0.19539,10.5626,-1.47986,1.60969,
,Si,T1,0.893367,0.333633,0.438433,-0.14233,12.46095,0.97571,1.60837,
,,,,,,,,,,
[2],O,O3,0.453633,0.546467,0.798167,9.08177,10.20311,0.56065,,
,Si,T1,0.333033,0.439967,0.771767,8.9052,8.94125,-0.42303,1.60969,
,Si,T1,0.560033,0.666967,0.771767,8.95825,10.83961,2.03254,1.60837,
,,,,,,,,,,
[1],O,O3,0.8797,0.7595,0.8685,8.05925,14.86317,2.5044,,
,Si,T1,1.0003,0.7736,0.8949,7.43676,16.34731,2.53481,1.60968,
,Si,T1,0.7733,0.7736,0.8949,9.34679,13.90287,2.42115,1.60837,
,,,,,,,,,,
[2],O,O3,0.546367,0.092833,0.201833,-1.72772,7.33743,-0.10998,,
,Si,T1,0.439967,0.106933,0.228233,-0.44019,6.37713,-0.19323,1.60837,
,,,,,,,,,,
[2],O,O3,0.213033,0.426167,0.535167,7.37286,5.71608,0.94685,,
,Si,T1,0.333633,0.440267,0.561567,6.75037,7.20022,0.97726,1.60968,
,Si,T1,0.106633,0.440267,0.561567,8.66039,4.75578,0.8636,1.60836,
,,,,,,,,,,
[0],O,O3,0.8797,0.1202,0.8685,2.53063,16.40109,-4.0911,,
,Si,T1,1.0003,0.2267,0.8949,2.70721,17.66294,-3.10743,1.60969,
,Si,T1,0.7733,-0.0003,0.8949,2.65415,15.76459,-5.56299,1.60837,
,,,,,,,,,,
[2],O,O3,0.546367,0.453533,0.201833,1.39159,6.46972,3.61127,,
,,,,,,,,,,
[2],O,O3,0.213033,0.786867,0.535167,10.49217,4.84837,4.66811,,
,Si,T1,0.333633,0.893367,0.561567,10.66875,6.11023,5.65178,1.60969,
,Si,T1,0.106633,0.666367,0.561567,10.61569,4.21187,3.19622,1.60837,
,,,,,,,,,,
[1],O,O3,0.2405,0.1203,0.8685,7.90984,9.51766,-4.41013,,
,Si,T1,0.2264,-0.0003,0.8949,7.25587,9.87533,-5.83683,1.60969,
,Si,T1,0.2264,0.2267,0.8949,9.21895,9.32925,-3.49493,1.60837,
,,,,,,,,,,
[2],O,O3,0.907167,0.453633,0.201833,-1.64339,10.35474,3.79296,,
,Si,T1,0.893067,0.333033,0.228233,-2.29736,10.7124,2.36626,1.60969,
,,,,,,,,,,
[2],O,O3,0.573833,0.786967,0.535167,7.4572,8.73339,4.8498,,
,Si,T1,0.559733,0.666367,0.561567,6.80322,9.09105,3.42309,1.60969,
,Si,T1,0.559733,0.893367,0.561567,8.7663,8.54498,5.765,1.60837,
,,,,,,,,,,
[1],O,O3,0.7595,0.8797,0.1315,2.56352,7.15517,8.58206,,
,Si,T1,0.7736,1.0003,0.1051,3.21749,6.7975,10.00876,1.60969,
,Si,T1,0.7736,0.7733,0.1051,1.25441,7.34358,7.66685,1.60837,
,,,,,,,,,,
[2],O,O3,0.426167,0.213033,0.464833,3.01617,7.93944,-0.67787,,
,Si,T1,0.440267,0.333633,0.438433,3.67014,7.58177,0.74883,1.60969,
,Si,T1,0.440267,0.106633,0.438433,1.70706,8.12785,-1.59307,1.60837,
,,,,,,,,,,
[2],O,O3,0.092833,0.546367,0.798167,12.11675,6.31809,0.37896,,
,Si,T1,0.106933,0.666967,0.771767,12.77072,5.96043,1.80567,1.60969,
,Si,T1,0.106933,0.439967,0.771767,10.80764,6.5065,-0.53624,1.60837,
,,,,,,,,,,
[2],O,O3,0.786967,0.573833,0.464833,3.1005,10.95675,3.22507,,
,Si,T1,0.666367,0.559733,0.438433,3.72299,9.47261,3.19466,1.60968,
,Si,T1,0.893367,0.559733,0.438433,1.81297,11.91704,3.30833,1.60836,
,,,,,,,,,,
[1],O,O3,0.1203,0.2405,0.1315,2.41411,1.80966,1.66753,,
,Si,T1,-0.0003,0.2264,0.1051,3.0366,0.32552,1.63712,1.60969,
,Si,T1,0.2267,0.2264,0.1051,1.12658,2.76995,1.75078,1.60836,
,,,,,,,,,,
[2],O,O3,0.453633,0.907167,0.798167,12.20108,9.3354,4.28191,,
,Si,T1,0.333033,0.893067,0.771767,12.82357,7.85126,4.2515,1.60968,
,Si,T1,0.560033,0.893067,0.771767,10.91355,10.29569,4.36516,1.60837,
,,,,,,,,,,
[0],O,O3,0.1203,0.8798,0.1315,7.94273,0.27174,8.26303,,
,Si,T1,-0.0003,0.7733,0.1051,7.76615,-0.99012,7.27935,1.60969,
,Si,T1,0.2267,1.0003,0.1051,7.81921,0.90824,9.73492,1.60837,
,,,,,,,,,,
[2],O,O4,0.666667,0.075633,0.333333,-1.54218,9.76702,-1.10108,,
,Si,T1,0.666367,0.106633,0.438433,-0.19539,10.5626,-1.47986,1.60943,
,,,,,,,,,,
[2],O,O4,0.333333,0.408967,0.666667,7.5584,8.14567,-0.04425,,
,Si,T1,0.333033,0.439967,0.771767,8.9052,8.94125,-0.42303,1.60943,
,Si,T1,0.333633,0.440267,0.561567,6.75037,7.20022,0.97726,1.60943,
,,,,,,,,,,
[1],O,O4,0.2577,0,0,-2.16834,2.77503,0.12903,,
,Si,T1,0.2264,-0.0003,-0.1051,-2.98375,1.56531,0.80871,1.60943,
,Si,T1,0.2267,0.0003,0.1051,-0.82872,3.31387,-0.58184,1.60943,
,,,,,,,,,,
[2],O,O4,0.924367,0.333333,0.333333,-1.48195,11.92212,1.68658,,
,Si,T1,0.893067,0.333033,0.228233,-2.29736,10.7124,2.36626,1.60943,
,Si,T1,0.893367,0.333633,0.438433,-0.14233,12.46095,0.97571,1.60943,
,,,,,,,,,,
[2],O,O4,0.591033,0.666667,0.666667,7.61864,10.30077,2.74341,,
,Si,T1,0.559733,0.666367,0.561567,6.80322,9.09105,3.42309,1.60943,
,Si,T1,0.560033,0.666967,0.771767,8.95825,10.83961,2.03254,1.60943,
,,,,,,,,,,
[1],O,O4,0.2577,0.2577,0,0.06024,2.1551,2.78766,,
,Si,T1,0.2264,0.2267,-0.1051,-1.02067,1.01924,3.15062,1.60943,
,Si,T1,0.2267,0.2264,0.1051,1.12658,2.76995,1.75078,1.60943,
,,,,,,,,,,
[2],O,O4,0.924367,0.591033,0.333333,0.74663,11.30219,4.34521,,
,Si,T1,0.893367,0.559733,0.438433,1.81297,11.91704,3.30833,1.60943,
,,,,,,,,,,
[2],O,O4,0.591033,0.924367,0.666667,9.84721,9.68084,5.40204,,
,Si,T1,0.559733,0.893367,0.561567,8.7663,8.54498,5.765,1.60943,
,Si,T1,0.560033,0.893067,0.771767,10.91355,10.29569,4.36516,1.60943,
,,,,,,,,,,
[1],O,O4,0.7423,0,0,-6.24585,7.99341,0.37168,,
,Si,T1,0.7736,0.0003,0.1051,-5.43044,9.20313,-0.308,1.60943,
,Si,T1,0.7733,-0.0003,-0.1051,-7.58547,7.45457,1.08255,1.60943,
,,,,,,,,,,
[2],O,O4,0.408967,0.333333,0.333333,2.85473,6.37206,1.42851,,
,Si,T1,0.440267,0.333633,0.438433,3.67014,7.58177,0.74883,1.60943,
,,,,,,,,,,
[2],O,O4,0.075633,0.666667,0.666667,11.95531,4.75071,2.48534,,
,Si,T1,0.106933,0.666967,0.771767,12.77072,5.96043,1.80567,1.60943,
,Si,T1,0.106633,0.666367,0.561567,10.61569,4.21187,3.19622,1.60943,
,,,,,,,,,,
[1],O,O4,0.7423,0.7423,0,0.17351,6.20772,8.02981,,
,Si,T1,0.7736,0.7733,0.1051,1.25441,7.34358,7.66685,1.60943,
,Si,T1,0.7733,0.7736,-0.1051,-0.89284,5.59286,9.06669,1.60943,
,,,,,,,,,,
[2],O,O4,0.408967,0.075633,0.333333,0.62616,6.99199,-1.23012,,
,Si,T1,0.440267,0.106633,0.438433,1.70706,8.12785,-1.59307,1.60943,
,Si,T1,0.439967,0.106933,0.228233,-0.44019,6.37713,-0.19323,1.60943,
,,,,,,,,,,
[2],O,O4,0.075633,0.408967,0.666667,9.72674,5.37064,-0.17328,,
,Si,T1,0.106933,0.439967,0.771767,10.80764,6.5065,-0.53624,1.60943,
,Si,T1,0.106633,0.440267,0.561567,8.66039,4.75578,0.8636,1.60943,
,,,,,,,,,,
[1],O,O4,1,0.2577,0,-6.18562,10.14851,3.15934,,
,Si,T1,1.0003,0.2267,-0.1051,-7.53241,9.35293,3.53812,1.60943,
,Si,T1,0.9997,0.2264,0.1051,-5.37759,11.09396,2.13783,1.60943,
,,,,,,,,,,
[1],O,O4,1,0.7423,0,-1.99483,8.98274,8.15884,,
,Si,T1,1.0003,0.7736,-0.1051,-2.80286,8.0373,9.18036,1.60943,
,Si,T1,0.9997,0.7733,0.1051,-0.64804,9.77832,7.78007,1.60943,
,,,,,,,,,,
[0],O,O4,0.2577,1,0,6.4796,0.3694,10.44579,,
,Si,T1,0.2264,0.9997,-0.1051,5.66418,-0.84031,11.12547,1.60943,
,Si,T1,0.2267,1.0003,0.1051,7.81921,0.90824,9.73492,1.60943,
,,,,,,,,,,
[0],O,O4,0.7423,1,0,2.40208,5.58779,10.68844,,
,Si,T1,0.7736,1.0003,0.1051,3.21749,6.7975,10.00876,1.60943,
,Si,T1,0.7733,0.9997,-0.1051,1.06246,5.04895,11.39931,1.60943,
,,,,,,,,,,
[1],O,O4,0,0.2577,1,12.46819,7.69008,-3.98692,,
,Si,T1,0.0003,0.2267,0.8949,11.1214,6.89451,-3.60814,1.60943,
,Si,T1,-0.0003,0.2264,1.1051,13.27622,8.63553,-5.00843,1.60943,
,,,,,,,,,,
[1],O,O4,0,0.7423,1,16.65898,6.52432,1.01258,,
,Si,T1,0.0003,0.7736,0.8949,15.85096,5.57887,2.03409,1.60943,
,Si,T1,-0.0003,0.7733,1.1051,18.00578,7.3199,0.6338,1.60943,
,,,,,,,,,,
[0],O,O4,0.2577,0,1,8.07129,11.08504,-6.51651,,
,Si,T1,0.2264,-0.0003,0.8949,7.25587,9.87533,-5.83683,1.60943,
,Si,T1,0.2267,0.0003,1.1051,9.4109,11.62388,-7.22739,1.60943,
,,,,,,,,,,
[1],O,O4,0.2577,0.2577,1,10.29986,10.46511,-3.85788,,
,Si,T1,0.2264,0.2267,0.8949,9.21895,9.32925,-3.49493,1.60943,
,Si,T1,0.2267,0.2264,1.1051,11.3662,11.07997,-4.89477,1.60943,
,,,,,,,,,,
[0],O,O4,0.7423,0,1,3.99377,16.30343,-6.27387,,
,Si,T1,0.7736,0.0003,1.1051,4.80918,17.51314,-6.95355,1.60943,
,Si,T1,0.7733,-0.0003,0.8949,2.65415,15.76459,-5.56299,1.60943,
,,,,,,,,,,
[1],O,O4,0.7423,0.7423,1,10.41313,14.51773,1.38426,,
,Si,T1,0.7736,0.7733,1.1051,11.49403,15.65359,1.02131,1.60943,
,Si,T1,0.7733,0.7736,0.8949,9.34679,13.90287,2.42115,1.60943,
,,,,,,,,,,
[0],O,O4,1,0.2577,1,4.054,18.45852,-3.4862,,
,Si,T1,1.0003,0.2267,0.8949,2.70721,17.66294,-3.10743,1.60943,
,Si,T1,0.9997,0.2264,1.1051,4.86203,19.40397,-4.50771,1.60943,
,,,,,,,,,,
[0],O,O4,1,0.7423,1,8.24479,17.29276,1.5133,,
,Si,T1,1.0003,0.7736,0.8949,7.43676,16.34731,2.53481,1.60943,
,Si,T1,0.9997,0.7733,1.1051,9.59158,18.08834,1.13452,1.60943,
,,,,,,,,,,
[1],O,O4,0.2577,1,1,16.71922,8.67942,3.80025,,
,Si,T1,0.2264,0.9997,0.8949,15.9038,7.46971,4.47993,1.60943,
,Si,T1,0.2267,1.0003,1.1051,18.05883,9.21826,3.08937,1.60943,
,,,,,,,,,,
[1],O,O4,0.7423,1,1,12.6417,13.8978,4.04289,,
,Si,T1,0.7736,1.0003,1.1051,13.45711,15.10751,3.36321,1.60943,
,Si,T1,0.7733,0.9997,0.8949,11.30208,13.35896,4.75377,1.60943,
,,,,,,,,,,
[2],O,O4,0.333333,0.924367,0.666667,12.01554,6.90581,5.27301,,
,Si,T1,0.333033,0.893067,0.771767,12.82357,7.85126,4.2515,1.60943,
,Si,T1,0.333633,0.893367,0.561567,10.66875,6.11023,5.65178,1.60944,
,,,,,,,,,,
[2],O,O4,0.666667,0.591033,0.333333,2.91496,8.52716,4.21618,,
,Si,T1,0.666367,0.559733,0.438433,3.72299,9.47261,3.19466,1.60943,
,,,,,,,,,,
[0],O,O4,0,0.2577,0,2.22857,-0.61993,2.65863,,
,Si,T1,0.0003,0.2267,-0.1051,0.88178,-1.41551,3.03741,1.60943,
,Si,T1,-0.0003,0.2264,0.1051,3.0366,0.32552,1.63712,1.60943,
,,,,,,,,,,
[0],O,O4,0,0.7423,0,6.41936,-1.78569,7.65813,,
,Si,T1,0.0003,0.7736,-0.1051,5.61133,-2.73114,8.67964,1.60943,
,Si,T1,-0.0003,0.7733,0.1051,7.76615,-0.99012,7.27935,1.60943,
,,,,,,,,,,
[4],Si,T1,0.666367,0.106633,0.438433,-0.19539,10.5626,-1.47986,,
,O,O1,0.568667,0.137333,0.456033,1.07239,9.58292,-1.32902,1.60928,
,O,O2,0.643367,-0.000067,0.500033,-0.29383,11.0835,-3.00154,1.61138,
,O,O2,0.643433,0.000067,0.499967,-0.29393,11.08334,-2.99969,1.60959,
,O,O3,0.786967,0.213133,0.464833,-0.01881,11.82446,-0.49618,1.60969,
,O,O4,0.666667,0.075633,0.333333,-1.54218,9.76702,-1.10108,1.60943,
,,,,,,,,,,
[5],Si,T1,0.333033,0.439967,0.771767,8.90519,8.94125,-0.42303,,
,O,O1,0.235333,0.470667,0.789367,10.17297,7.96157,-0.27218,1.60928,
,O,O2,0.310033,0.333267,0.833367,8.80675,9.46215,-1.94471,1.61138,
,O,O2,0.3101,0.3334,0.8333,8.80666,9.46199,-1.94286,1.60959,
,O,O3,0.453633,0.546467,0.798167,9.08177,10.20311,0.56065,1.60969,
,O,O4,0.333333,0.408967,0.666667,7.5584,8.14567,-0.04425,1.60943,
,,,,,,,,,,
[3],Si,T1,0.0003,0.7736,0.8949,15.85095,5.57887,2.03409,,
,O,O1,0.098,0.902,0.8773,15.95906,6.17581,3.52465,1.60928,
,O,O2,0.0233,0.6899,0.8333,14.30284,5.516,1.59146,1.61138,
,O,O3,-0.1203,0.7595,0.8685,16.47344,4.09473,2.00368,1.60969,
,O,O4,0,0.7423,1,16.65898,6.52432,1.01258,1.60943,
,O,O4,0,0.7423,1,16.65898,6.52432,1.01258,1.60943,
,O,O4,0,0.7423,1,16.65898,6.52432,1.01258,1.60943,
,O,O4,0,0.7423,1,16.65898,6.52432,1.01258,1.60943,
,,,,,,,,,,
[4],Si,T1,0.9997,0.7733,0.1051,-0.64804,9.77832,7.78007,,
,O,O1,0.902,0.804,0.1227,0.61974,8.79865,7.93091,1.60928,
,O,O2,0.976767,0.666733,0.166633,-0.74657,10.29907,6.26024,1.60958,
,O,O2,0.9767,0.6666,0.1667,-0.74648,10.29923,6.25839,1.61138,
