13.675 13.675 14.767 90.0 90.0 120.0
3.0 0.0 0.0
0.0 3.0 0.0
0.0 0.0 3.0
1.666733 0.976767 0.833367 O
1.643367 0.643433 0.500033 O
1.9767000000000001 0.3101 0.1667 O
1.9767000000000001 0.6666 0.1667 O
1.310033 0.976767 0.833367 O
1.786967 0.213133 0.464833 O
1.453633 0.546467 0.798167 O
1.8797000000000001 0.7595 0.8685 O
1.546367 0.092833 0.201833 O
1.213033 0.426167 0.5351670000000001 O
1.8797000000000001 0.1202 0.8685 O
1.546367 0.453533 0.201833 O
1.213033 0.786867 0.5351670000000001 O
1.2405 0.1203 0.8685 O
1.9071669999999998 0.453633 0.201833 O
1.573833 0.786967 0.5351670000000001 O
1.7595 0.8797 0.1315 O
1.426167 0.213033 0.464833 O
1.092833 0.546367 0.798167 O
1.786967 0.573833 0.464833 O
1.1203 0.2405 0.1315 O
1.453633 0.907167 0.798167 O
1.1203 0.8798 0.1315 O
1.666667 0.075633 0.333333 O
1.333333 0.408967 0.666667 O
1.2577 0.0 0.0 O
1.9243670000000002 0.333333 0.333333 O
1.591033 0.666667 0.666667 O
1.2577 0.2577 0.0 O
1.9243670000000002 0.591033 0.333333 O
1.591033 0.924367 0.666667 O
1.7423 0.0 0.0 O
1.408967 0.333333 0.333333 O
1.075633 0.666667 0.666667 O
1.7423 0.7423 0.0 O
1.408967 0.075633 0.333333 O
1.075633 0.408967 0.666667 O
2.0 0.2577 0.0 O
2.0 0.7423 0.0 O
1.2577 1.0 0.0 O
1.7423 1.0 0.0 O
1.0 0.2577 1.0 O
1.0 0.7423 1.0 O
1.2577 0.0 1.0 O
1.2577 0.2577 1.0 O
1.7423 0.0 1.0 O
1.7423 0.7423 1.0 O
2.0 0.2577 1.0 O
2.0 0.7423 1.0 O
1.2577 1.0 1.0 O
1.7423 1.0 1.0 O
1.333333 0.924367 0.666667 O
1.666667 0.591033 0.333333 O
1.0 0.2577 0.0 O
1.0 0.7423 0.0 O
1.6663670000000002 0.106633 0.438433 Si
1.333033 0.439967 0.771767 Si
1.0003 0.7736 0.8949 Si
1.9997 0.7733 0.1051 Si
1.333633 0.440267 0.561567 Si
1.0003 0.2267 0.8949 Si
1.333033 0.893067 0.771767 Si
1.333633 0.893367 0.561567 Si
1.2264 0.9997 0.8949 Si
1.893067 0.333033 0.228233 Si
1.559733 0.666367 0.561567 Si
1.2264 0.2267 0.8949 Si
1.6663670000000002 0.559733 0.438433 Si
1.559733 0.893367 0.561567 Si
1.7736 0.0003 0.1051 Si
1.440267 0.333633 0.438433 Si
1.106933 0.666967 0.771767 Si
1.7736 0.7733 0.1051 Si
1.440267 0.106633 0.438433 Si
1.106933 0.439967 0.771767 Si
1.7732999999999999 0.9997 0.8949 Si
1.9997 0.2264 0.1051 Si
